Station_ID,Station_Name,Latitude,Longitude,Pressure_PSI,Flow_Rate_m3_h,Status,Last_Maintenance
PS-001,Mombasa Terminal,-4.0435,39.6682,1200,850,Normal,3/15/2026
PS-002,Samburu Pump,-3.725,39.3833,1150,845,Normal,2/10/2026
PS-003,Maungu Station,-3.57,38.65,1050,840,Warning,4/1/2026
PS-004,Manyani Depot,-3.23,38.5,1100,830,Normal,1/20/2026
PS-005,Mtito Andei,-2.68,38.16,1080,820,Normal,3/22/2026
PS-006,Makindu Depot,-2.28,37.83,950,810,Critical,4/18/2026
PS-007,Sultan Hamud,-1.93,37.53,1000,805,Normal,2/28/2026
PS-008,Konza Station,-1.72,37.13,980,800,Normal,3/5/2026
PS-009,Embakasi Depot,-1.316,36.94,920,780,Normal,4/10/2026
PS-010,Nairobi Terminal,-1.2921,36.8219,850,750,Normal,4/20/2026
PS-011,Morendat Pump,-0.7833,36.4333,800,720,Normal,3/12/2026
PS-012,Soilo Junction,-0.3,36.06,750,700,Warning,4/5/2026
